,event_no,event_half,event,event_id,event_text,raider_id,raiding_team_id,defender_id,defending_team_id,raid_points,raid_touch_points,raid_bonus_points,raid_technical_points,raid_all_out_points,defending_capture_points,defending_bonus_points,defending_technical_points,defending_all_out_points,super_raid,super_tackle,do_or_die,super_ten,high_five,review,defending_points,clock,status_id,score,seq_no,defenders,created_date,team_id,player_id,substituted_by,substitute_time
49,50,2,Empty Raid,3,Bhavani Rajput empty raid,660.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,17:01,0,"[17, 21]",48,[],2024-02-28T21:48:21,,,,
50,51,2,Empty Raid,3,Vinay  empty raid,3054.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,16:34,0,"[17, 21]",49,[],2024-02-28T21:48:54,,,,
51,52,2,Empty Raid,3,Arjun Deshwal empty raid,2024.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,16:03,0,"[17, 21]",50,[],2024-02-28T21:49:25,,,,
52,53,2,Empty Raid,3,Vinay  empty raid,3054.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,15:30,0,"[17, 21]",51,[],2024-02-28T21:49:59,,,,
53,54,2,Unsuccessful Raid,2,Bhavani Rajput unsuccessful raid,660.0,3.0,4184.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,14:56,0,"[17, 22]",52,[4184],2024-02-28T21:50:22,,,,
54,55,2,Unsuccessful Raid,2,Vinay  unsuccessful raid,3054.0,28.0,4769.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,14:24,0,"[18, 22]",53,[4769],2024-02-28T21:50:48,,,,
55,56,2,Unsuccessful Raid,2,Arjun Deshwal unsuccessful raid,2024.0,3.0,4186.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,13:59,0,"[18, 23]",54,[4186],2024-02-28T21:51:30,,,,
56,57,2,Empty Raid,3,Ashish  empty raid,3028.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,13:00,0,"[18, 23]",55,[],2024-02-28T21:52:50,,,,
57,58,2,Substitution,5,V Ajith Kumar comes in for Lucky Sharma,,,,,,,,,,,,,,,,,,,,,12:24,0,,0,,2024-02-28T21:52:50,3.0,5042.0,3053.0,28.0
58,59,2,Empty Raid,3,V Ajith Kumar empty raid,3053.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,12:21,0,"[18, 23]",56,[],2024-02-28T21:53:25,,,,
59,60,2,Empty Raid,3,Ashish  empty raid,3028.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,11:54,0,"[18, 23]",57,[],2024-02-28T21:53:59,,,,
60,61,2,Successful Raid,1,V Ajith Kumar raids successfully,3053.0,3.0,,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,11:20,0,"[19, 23]",58,[],2024-02-28T21:54:16,,,,
61,62,2,Unsuccessful Raid,2,Shivam Patare unsuccessful raid,4108.0,28.0,3574.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,10:59,0,"[20, 23]",59,[3574],2024-02-28T21:54:37,,,,
62,63,2,Empty Raid,3,V Ajith Kumar empty raid,3053.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,10:29,0,"[20, 23]",60,[],2024-02-28T21:55:14,,,,
63,64,2,Timeout,8,,,,,,,,,,,,,,,,,,,,,,10:02,0,,0,,2024-02-28T21:55:14,,,,
64,65,2,Empty Raid,3,Ashish  empty raid,3028.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,10:02,0,"[20, 23]",61,[],2024-02-28T21:59:20,,,,
