season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-08,Dabang Delhi,,4,9,9%,11.10%,55.60%,33.30%
PKL-08,Dabang Delhi,,5,31,32%,48.40%,19.40%,32.30%
PKL-08,Dabang Delhi,,6,19,20%,31.60%,31.60%,36.80%
PKL-08,Dabang Delhi,,7,25,26%,16.00%,48.00%,36.00%
PKL-08,Dabang Delhi,Nitin Panwar,5,2,50%,,50.00%,50.00%
PKL-08,Dabang Delhi,,6,1,25%,,,100.00%
PKL-08,Dabang Delhi,,7,1,25%,,100.00%,
PKL-08,Dabang Delhi,Sandeep Narwal,1,1,1%,,100.00%,
PKL-08,Dabang Delhi,,2,5,7%,40.00%,20.00%,40.00%
PKL-08,Dabang Delhi,,3,5,7%,60.00%,40.00%,
PKL-08,Dabang Delhi,,4,9,13%,55.60%,22.20%,22.20%
PKL-08,Dabang Delhi,,5,9,13%,100.00%,,
PKL-08,Dabang Delhi,,6,8,12%,50.00%,50.00%,
PKL-08,Dabang Delhi,,7,31,46%,58.10%,25.80%,16.10%
PKL-08,Dabang Delhi,Sushant Sail,4,2,50%,50.00%,,50.00%
PKL-08,Dabang Delhi,,7,2,50%,,50.00%,50.00%
PKL-08,Dabang Delhi,Vijay Jaglan,1,1,0%,,100.00%,
PKL-08,Dabang Delhi,,2,1,0%,,100.00%,
PKL-08,Dabang Delhi,,3,3,1%,66.70%,,33.30%
PKL-08,Dabang Delhi,,4,22,8%,86.40%,4.50%,9.10%
PKL-08,Dabang Delhi,,5,48,17%,64.60%,12.50%,22.90%
PKL-08,Dabang Delhi,,6,82,29%,26.80%,56.10%,17.10%
PKL-08,Dabang Delhi,,7,128,45%,25.80%,51.60%,22.70%
PKL-08,harayana,Ajay Ghanghas,6,1,100%,,,100.00%
PKL-08,harayana,Ashish,2,1,1%,,100.00%,
PKL-08,harayana,,3,3,3%,33.30%,33.30%,33.30%
PKL-08,harayana,,4,10,10%,40.00%,30.00%,30.00%
PKL-08,harayana,,5,11,11%,63.60%,18.20%,18.20%
PKL-08,harayana,,6,27,26%,29.60%,66.70%,3.70%
PKL-08,harayana,,7,50,49%,34.00%,36.00%,30.00%
PKL-08,harayana,Jaideep,5,3,21%,100.00%,,
PKL-08,harayana,,6,2,14%,100.00%,,
PKL-08,harayana,,7,9,64%,66.70%,,33.30%
PKL-08,harayana,Meetu,2,2,1%,,100.00%,
PKL-08,harayana,,3,8,4%,25.00%,50.00%,25.00%
PKL-08,harayana,,4,23,12%,39.10%,34.80%,26.10%
PKL-08,harayana,,5,53,28%,64.20%,17.00%,18.90%
PKL-08,harayana,,6,35,18%,31.40%,48.60%,20.00%
PKL-08,harayana,,7,71,37%,33.80%,38.00%,28.20%
PKL-08,harayana,Mohammad Esmaeil,6,3,50%,66.70%,,33.30%
PKL-08,harayana,,7,3,50%,33.30%,33.30%,33.30%
PKL-08,harayana,Rajesh Narwal,6,2,50%,50.00%,,50.00%
PKL-08,harayana,,7,2,50%,,,100.00%
PKL-08,harayana,Ravi Kumar,7,1,100%,,,100.00%
PKL-08,harayana,Rohit Gulia,3,4,4%,50.00%,,50.00%
PKL-08,harayana,,4,9,8%,88.90%,,11.10%
PKL-08,harayana,,5,7,6%,42.90%,14.30%,42.90%
PKL-08,harayana,,6,40,35%,20.00%,50.00%,30.00%
PKL-08,harayana,,7,53,47%,18.90%,41.50%,39.60%
PKL-08,harayana,Surender Nada,2,1,8%,100.00%,,
PKL-08,harayana,,3,1,8%,100.00%,,
PKL-08,harayana,,4,2,17%,50.00%,50.00%,
PKL-08,harayana,,5,1,8%,100.00%,,
PKL-08,harayana,,6,1,8%,100.00%,,
PKL-08,harayana,,7,6,50%,50.00%,16.70%,33.30%
PKL-08,harayana,Vijay Kumar,7,1,100%,,100.00%,
PKL-08,harayana,Vikash Kandola,1,4,1%,,100.00%,
PKL-08,harayana,,2,23,6%,8.70%,82.60%,8.70%
PKL-08,harayana,,3,41,12%,34.10%,46.30%,19.50%
PKL-08,harayana,,4,53,15%,37.70%,34.00%,28.30%
PKL-08,harayana,,5,71,20%,39.40%,35.20%,25.40%
PKL-08,harayana,,6,70,20%,38.60%,37.10%,24.30%
PKL-08,harayana,,7,94,26%,36.20%,38.30%,25.50%
PKL-08,harayana,Vinay,3,2,2%,50.00%,,50.00%
PKL-08,harayana,,4,10,10%,30.00%,40.00%,30.00%
PKL-08,harayana,,5,11,11%,63.60%,27.30%,9.10%
PKL-08,harayana,,6,31,32%,29.00%,54.80%,16.10%
PKL-08,harayana,,7,42,44%,28.60%,57.10%,14.30%
