season,team_name,player-id-pkdc,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-06,Telugu Titans,482,Farhad Milaghardan,5,12,20%,75.00%,16.70%,8.30%
PKL-06,Telugu Titans,482,Farhad Milaghardan,6,10,16%,50.00%,50.00%,
PKL-06,Telugu Titans,482,Farhad Milaghardan,7,29,48%,55.20%,24.10%,20.70%
PKL-06,Telugu Titans,2307,Kamal Singh ,4,2,6%,100.00%,,
PKL-06,Telugu Titans,2307,Kamal Singh ,5,12,34%,75.00%,16.70%,8.30%
PKL-06,Telugu Titans,2307,Kamal Singh ,6,6,17%,83.30%,,16.70%
PKL-06,Telugu Titans,2307,Kamal Singh ,7,15,43%,26.70%,33.30%,40.00%
PKL-06,Telugu Titans,274,Krushna Madane,5,2,67%,100.00%,,
PKL-06,Telugu Titans,274,Krushna Madane,6,1,33%,,100.00%,
PKL-06,Telugu Titans,567,Mohsen Maghsoudlou,2,2,2%,50.00%,,50.00%
PKL-06,Telugu Titans,567,Mohsen Maghsoudlou,3,5,5%,60.00%,20.00%,20.00%
PKL-06,Telugu Titans,567,Mohsen Maghsoudlou,4,21,19%,47.60%,14.30%,38.10%
PKL-06,Telugu Titans,567,Mohsen Maghsoudlou,5,23,21%,65.20%,13.00%,21.70%
PKL-06,Telugu Titans,567,Mohsen Maghsoudlou,6,23,21%,52.20%,34.80%,13.00%
PKL-06,Telugu Titans,567,Mohsen Maghsoudlou,7,37,33%,51.40%,29.70%,18.90%
PKL-06,Telugu Titans,293,Nilesh Salunke,1,1,0%,,100.00%,
PKL-06,Telugu Titans,293,Nilesh Salunke,2,4,2%,25.00%,25.00%,50.00%
PKL-06,Telugu Titans,293,Nilesh Salunke,3,10,5%,60.00%,,40.00%
PKL-06,Telugu Titans,293,Nilesh Salunke,4,27,13%,59.30%,11.10%,29.60%
PKL-06,Telugu Titans,293,Nilesh Salunke,5,41,20%,56.10%,17.10%,26.80%
PKL-06,Telugu Titans,293,Nilesh Salunke,6,50,25%,36.00%,44.00%,20.00%
PKL-06,Telugu Titans,293,Nilesh Salunke,7,68,34%,33.80%,39.70%,26.50%
PKL-06,Telugu Titans,81,Rahul Chaudhari,1,5,1%,,100.00%,
PKL-06,Telugu Titans,81,Rahul Chaudhari,2,18,5%,5.60%,77.80%,16.70%
PKL-06,Telugu Titans,81,Rahul Chaudhari,3,25,7%,24.00%,48.00%,28.00%
PKL-06,Telugu Titans,81,Rahul Chaudhari,4,43,12%,44.20%,20.90%,34.90%
PKL-06,Telugu Titans,81,Rahul Chaudhari,5,57,16%,42.10%,22.80%,35.10%
PKL-06,Telugu Titans,81,Rahul Chaudhari,6,83,24%,43.40%,48.20%,8.40%
PKL-06,Telugu Titans,81,Rahul Chaudhari,7,119,34%,31.90%,38.70%,29.40%
PKL-06,Telugu Titans,2290,Rajnish ,4,3,12%,66.70%,33.30%,
PKL-06,Telugu Titans,2290,Rajnish ,5,6,23%,50.00%,,50.00%
PKL-06,Telugu Titans,2290,Rajnish ,6,4,15%,25.00%,25.00%,50.00%
PKL-06,Telugu Titans,2290,Rajnish ,7,13,50%,30.80%,46.20%,23.10%
PKL-06,Telugu Titans,3090,Rakshith ,4,4,10%,,25.00%,75.00%
PKL-06,Telugu Titans,3090,Rakshith ,5,5,13%,40.00%,20.00%,40.00%
PKL-06,Telugu Titans,3090,Rakshith ,6,11,28%,27.30%,27.30%,45.50%
PKL-06,Telugu Titans,3090,Rakshith ,7,19,49%,31.60%,36.80%,31.60%
PKL-06,Telugu Titans,3083,Vishal Bharadwaj,3,4,10%,100.00%,,
PKL-06,Telugu Titans,3083,Vishal Bharadwaj,4,2,5%,100.00%,,
PKL-06,Telugu Titans,3083,Vishal Bharadwaj,5,20,50%,100.00%,,
PKL-06,Telugu Titans,3083,Vishal Bharadwaj,6,5,13%,100.00%,,
PKL-06,Telugu Titans,3083,Vishal Bharadwaj,7,9,23%,100.00%,,
PKL-06,Jaipur Pink Panthers,3097,Ajinkya Ashok Pawar,2,7,4%,14.30%,57.10%,28.60%
PKL-06,Jaipur Pink Panthers,3097,Ajinkya Ashok Pawar,3,13,8%,23.10%,61.50%,15.40%
PKL-06,Jaipur Pink Panthers,3097,Ajinkya Ashok Pawar,4,22,13%,45.50%,36.40%,18.20%
PKL-06,Jaipur Pink Panthers,3097,Ajinkya Ashok Pawar,5,38,23%,34.20%,34.20%,31.60%
PKL-06,Jaipur Pink Panthers,3097,Ajinkya Ashok Pawar,6,28,17%,32.10%,35.70%,32.10%
PKL-06,Jaipur Pink Panthers,3097,Ajinkya Ashok Pawar,7,55,34%,45.50%,29.10%,25.50%
PKL-06,Jaipur Pink Panthers,3056,Ajit Singh,4,3,16%,33.30%,33.30%,33.30%
PKL-06,Jaipur Pink Panthers,3056,Ajit Singh,5,4,21%,75.00%,,25.00%
PKL-06,Jaipur Pink Panthers,3056,Ajit Singh,6,2,11%,,50.00%,50.00%
PKL-06,Jaipur Pink Panthers,3056,Ajit Singh,7,10,53%,10.00%,50.00%,40.00%
