Season,Team Name,Player Name,Position,Total Played,Total Starts
PKL_S6,Puneri Paltan,Akshay Jadhav,Raider,18,12
PKL_S6,Puneri Paltan,Rinku Narwal,Left Corner,15,12
PKL_S6,Puneri Paltan,Monu Sandhu,Raider,14,13
PKL_S6,Puneri Paltan,Rajesh Mondal,Raider,11,6
PKL_S6,Puneri Paltan,Nitin Tomar,Raider,11,11
PKL_S6,Puneri Paltan,Deepak Kumar Dahiya,Raider,11,8
PKL_S6,Puneri Paltan,Shubham Shinde,Right Corner,10,8
PKL_S6,Puneri Paltan,Parvesh,Raider,6,1
PKL_S6,Puneri Paltan,Amit Kumar,All Rounder,6,2
PKL_S6,Puneri Paltan,Sandeep,All Rounder,5,4
PKL_S6,Puneri Paltan,Vinod Kumar,Left Cover,2,2
PKL_S6,Puneri Paltan,Sanjay Shrestha,All Rounder,0,0
PKL_S6,Puneri Paltan,Lal Mohar Yadav,Raider,0,0
PKL_S6,Puneri Paltan,Bajrang,Right Cover,0,0
PKL_S6,Tamil Thalaivas,Ajay Thakur,Raider,22,22
PKL_S6,Tamil Thalaivas,Manjeet Chhillar,All Rounder,19,19
PKL_S6,Tamil Thalaivas,Athul M S,All Rounder,19,9
PKL_S6,Tamil Thalaivas,Amit Hooda,Right Corner,18,18
PKL_S6,Tamil Thalaivas,Sukesh Hegde,Raider,17,17
PKL_S6,Tamil Thalaivas,Jasvir Singh,Raider,16,11
PKL_S6,Tamil Thalaivas,C. Arun,Left Cover,16,9
PKL_S6,Tamil Thalaivas,D. Pradap,All Rounder,13,10
PKL_S6,Tamil Thalaivas,Ponparthiban Subramanian,Right Cover,12,12
PKL_S6,Tamil Thalaivas,Sunil,Left Corner,11,8
PKL_S6,Tamil Thalaivas,Surjeet Singh,Raider,9,5
PKL_S6,Tamil Thalaivas,Darshan J.,Right Cover,9,7
PKL_S6,Tamil Thalaivas,Vimal Raj V,All Rounder,5,2
PKL_S6,Tamil Thalaivas,D. Gopu,Defender,5,3
PKL_S6,Tamil Thalaivas,Anil Kumar,Raider,4,1
PKL_S6,Tamil Thalaivas,Victor Obiero,All Rounder,3,0
PKL_S6,Tamil Thalaivas,Anand,Raider,3,1
PKL_S6,Tamil Thalaivas,K. Jayaseelan,Raider,1,0
PKL_S6,Tamil Thalaivas,Chan Sik Park,All Rounder,0,0
PKL_S6,Tamil Thalaivas,Abhinandan Chandel,Raider,0,0
PKL_S6,Telugu Titans,Farhad Milaghardan,Right Cover,22,21
PKL_S6,Telugu Titans,Rahul Chaudhari,Raider,21,21
PKL_S6,Telugu Titans,Abozar Mighani,Right Corner,21,20
PKL_S6,Telugu Titans,Nilesh Salunke,Raider,19,18
