super-10s_player_name,player-tackle-points_player_name,player-super-raids_player_name,player-raid-points_player_name,player-super-tackles_player_name,player-total-points_player_name,high-5s_player_name,player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-successful-raids_player_name,player-dod-raid-points_player_name,super-10s_match_played,player-tackle-points_match_played,player-super-raids_match_played,player-raid-points_match_played,player-super-tackles_match_played,player-total-points_match_played,high-5s_match_played,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-successful-raids_match_played,player-dod-raid-points_match_played,super-10s_position_name,player-tackle-points_position_name,player-super-raids_position_name,player-raid-points_position_name,player-super-tackles_position_name,player-total-points_position_name,high-5s_position_name,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-successful-raids_position_name,player-dod-raid-points_position_name,super-10s_team,player-tackle-points_team,player-super-raids_team,player-raid-points_team,player-super-tackles_team,player-total-points_team,high-5s_team,player-successful-tackles_team,player-avg-tackle-points_team,player-successful-raids_team,player-dod-raid-points_team,super-10s_team_name,player-tackle-points_team_name,player-super-raids_team_name,player-raid-points_team_name,player-super-tackles_team_name,player-total-points_team_name,high-5s_team_name,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-successful-raids_team_name,player-dod-raid-points_team_name,super-10s_team_full_name,player-tackle-points_team_full_name,player-super-raids_team_full_name,player-raid-points_team_full_name,player-super-tackles_team_full_name,player-total-points_team_full_name,high-5s_team_full_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-successful-raids_team_full_name,player-dod-raid-points_team_full_name,super-10s_rank,player-tackle-points_rank,player-super-raids_rank,player-raid-points_rank,player-super-tackles_rank,player-total-points_rank,high-5s_rank,player-successful-tackles_rank,player-avg-tackle-points_rank,player-successful-raids_rank,player-dod-raid-points_rank,super-10s_value,player-tackle-points_value,player-super-raids_value,player-raid-points_value,player-super-tackles_value,player-total-points_value,high-5s_value,player-successful-tackles_value,player-avg-tackle-points_value,player-successful-raids_value,player-dod-raid-points_value,super-10s_points_per_match,player-tackle-points_points_per_match,player-super-raids_points_per_match,player-raid-points_points_per_match,player-super-tackles_points_per_match,player-total-points_points_per_match,high-5s_points_per_match,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-successful-raids_points_per_match,player-dod-raid-points_points_per_match,super-10s_team_id,player-tackle-points_team_id,player-super-raids_team_id,player-raid-points_team_id,player-super-tackles_team_id,player-total-points_team_id,high-5s_team_id,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-successful-raids_team_id,player-dod-raid-points_team_id,super-10s_position_id,player-tackle-points_position_id,player-super-raids_position_id,player-raid-points_position_id,player-super-tackles_position_id,player-total-points_position_id,high-5s_position_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id,player-successful-raids_position_id,player-dod-raid-points_position_id
Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,,Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,15.0,15.0,15.0,15.0,15.0,15,,15.0,15.0,15.0,15.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,HYD,HYD,HYD,HYD,HYD,HYD,,HYD,HYD,HYD,HYD,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,7.0,67.0,24.0,14.0,42.0,18,,66.0,89.0,12.0,13.0,1.0,4.0,1.0,54.0,1.0,58,,3.0,0.27,42.0,14.0,0.0666666666666666,0.2666666666666666,0.0666666666666666,3.6,0.0666666666666666,3.8666666666666663,,0.2,0.018,2.8,0.9333333333333332,8.0,8.0,8.0,8.0,8.0,8,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8,,8.0,8.0,8.0,8.0
,,Pawan Kumar Kadian,Pawan Kumar Kadian,,Pawan Kumar Kadian,,,,Pawan Kumar Kadian,Pawan Kumar Kadian,,,10.0,10.0,,10,,,,10.0,10.0,,,Raider,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,MUM,MUM,,MUM,,,,MUM,MUM,,,U Mumba,U Mumba,,U Mumba,,,,U Mumba,U Mumba,,,25.0,32.0,,58,,,,39.0,27.0,,,1.0,16.0,,16,,,,9.0,6.0,,,0.1,1.6,,1.6,,,,0.9,0.6,,,5.0,5.0,,5,,,,5.0,5.0,,,8.0,8.0,,8,,,,8.0,8.0
,Ravinder Pahal,,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,,,14.0,,14.0,14.0,14,14.0,14.0,14.0,14.0,,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,DEL,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,1.0,,61.0,2.0,13,2.0,2.0,1.0,62.0,,,60.0,,4.0,7.0,64,5.0,53.0,4.29,3.0,,,4.285714285714286,,0.2857142857142857,0.5,4.571428571428571,0.3571428571428571,3.7857142857142856,0.3064285714285714,0.2142857142857142,,,2.0,,2.0,2.0,2,2.0,2.0,2.0,2.0,,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,
,Rakesh Singh Kumar,,,Rakesh Singh Kumar,Rakesh Singh Kumar,Rakesh Singh Kumar,Rakesh Singh Kumar,Rakesh Singh Kumar,,,,13.0,,,13.0,13,13.0,13.0,13.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,DEL,,,DEL,DEL,DEL,DEL,DEL,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,22.0,,,23.0,50,23.0,22.0,34.0,,,,19.0,,,2.0,19,1.0,17.0,1.46,,,,1.4615384615384617,,,0.1538461538461538,1.4615384615384617,0.0769230769230769,1.3076923076923077,0.1123076923076923,,,,2.0,,,2.0,2,2.0,2.0,2.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
,Samarjeet Singh,,,Samarjeet Singh,Samarjeet Singh,,Samarjeet Singh,Samarjeet Singh,,,,5.0,,,5.0,5,,5.0,5.0,,,,All Rounder,,,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,,,JAI,,,JAI,JAI,,JAI,JAI,,,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,88.0,,,41.0,115,,86.0,83.0,,,,2.0,,,1.0,2,,1.0,0.4,,,,0.4,,,0.2,0.4,,0.2,0.08,,,,3.0,,,3.0,3,,3.0,3.0,,,,0.0,,,0.0,0,,0.0,0.0,,
,Ran Singh,,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,,14.0,,14.0,14.0,14,14.0,14.0,14.0,14.0,14.0,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,JAI,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,13.0,,39.0,7.0,26,24.0,14.0,16.0,38.0,31.0,,31.0,,13.0,4.0,44,1.0,27.0,2.21,10.0,5.0,,2.2142857142857144,,0.9285714285714286,0.2857142857142857,3.142857142857143,0.0714285714285714,1.9285714285714288,0.1578571428571428,0.7142857142857143,0.3571428571428571,,3.0,,3.0,3.0,3,3.0,3.0,3.0,3.0,3.0,,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,Girish Maruti Ernak,,,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,,,,13.0,,,13.0,13,13.0,13.0,13.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,PAT,,,PAT,PAT,PAT,PAT,PAT,,,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,,16.0,,,40.0,40,25.0,15.0,19.0,,,,27.0,,,1.0,27,1.0,26.0,2.08,,,,2.076923076923077,,,0.0769230769230769,2.076923076923077,0.0769230769230769,2.0,0.16,,,,6.0,,,6.0,6,6.0,6.0,6.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
,D. Suresh Kumar,,,D. Suresh Kumar,D. Suresh Kumar,D. Suresh Kumar,D. Suresh Kumar,D. Suresh Kumar,,,,16.0,,,16.0,16,16.0,16.0,16.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,PAT,,,PAT,PAT,PAT,PAT,PAT,,,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,,14.0,,,8.0,39,14.0,16.0,23.0,,,,30.0,,,4.0,30,2.0,26.0,1.88,,,,1.875,,,0.25,1.875,0.125,1.625,0.1175,,,,6.0,,,6.0,6,6.0,6.0,6.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,,Mahendra Ganesh Rajput,,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,Mahendra Ganesh Rajput,12.0,12.0,12.0,12.0,,12,,12.0,12.0,12.0,12.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,KOL,KOL,KOL,KOL,,KOL,,KOL,KOL,KOL,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,5.0,89.0,8.0,13.0,,20,,87.0,105.0,16.0,6.0,2.0,1.0,3.0,55.0,,56,,1.0,0.08,37.0,21.0,0.1666666666666666,0.0833333333333333,0.25,4.583333333333333,,4.666666666666667,,0.0833333333333333,0.0066666666666666,3.0833333333333335,1.75,4.0,4.0,4.0,4.0,,4,,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Bajirao Hodage,,,,Bajirao Hodage,,Bajirao Hodage,Bajirao Hodage,,,,7.0,,,,7,,7.0,7.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,KOL,,,,KOL,,KOL,KOL,,,,Bengal Warriors,,,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,29.0,,,,68,,28.0,24.0,,,,13.0,,,,13,,13.0,1.86,,,,1.8571428571428572,,,,1.8571428571428572,,1.8571428571428572,0.2657142857142857,,,,4.0,,,,4,,4.0,4.0,,,,9.0,,,,9,,9.0,9.0,,
,Sachin Shingade,,,,Sachin Shingade,,Sachin Shingade,Sachin Shingade,,,,4.0,,,,4,,4.0,4.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,HYD,,,,HYD,,HYD,HYD,,,,Telugu Titans,,,,Telugu Titans,,Telugu Titans,Telugu Titans,,,,87.0,,,,114,,85.0,79.0,,,,2.0,,,,2,,2.0,0.5,,,,0.5,,,,0.5,,0.5,0.125,,,,8.0,,,,8,,8.0,8.0,,,,9.0,,,,9,,9.0,9.0,,
,Preetam Chhillar,,Preetam Chhillar,,Preetam Chhillar,,Preetam Chhillar,Preetam Chhillar,Preetam Chhillar,,,12.0,,12.0,,12,,12.0,12.0,12.0,,,All Rounder,,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,BLR,,BLR,,BLR,,BLR,BLR,BLR,,,Bengaluru Bulls,,Bengaluru Bulls,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,47.0,,68.0,,81,,44.0,66.0,63.0,,,8.0,,2.0,,10,,8.0,0.67,2.0,,,0.6666666666666666,,0.1666666666666666,,0.8333333333333334,,0.6666666666666666,0.0558333333333333,0.1666666666666666,,,1.0,,1.0,,1,,1.0,1.0,1.0,,,0.0,,0.0,,0,,0.0,0.0,0.0,
,Sagar Khatale,,,,Sagar Khatale,,Sagar Khatale,Sagar Khatale,,,,4.0,,,,4,,4.0,4.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,PUN,,,,PUN,,PUN,PUN,,,,Puneri Paltan,,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,,66.0,,,,102,,63.0,50.0,,,,4.0,,,,4,,4.0,1.0,,,,1.0,,,,1.0,,1.0,0.25,,,,7.0,,,,7,,7.0,7.0,,,,9.0,,,,9,,9.0,9.0,,
Pradeep Kumar,Pradeep Kumar,Pradeep Kumar,Pradeep Kumar,Pradeep Kumar,Pradeep Kumar,,Pradeep Kumar,Pradeep Kumar,Pradeep Kumar,Pradeep Kumar,6.0,6.0,6.0,6.0,6.0,6,,6.0,6.0,6.0,6.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,8.0,86.0,11.0,27.0,39.0,41,,88.0,84.0,26.0,32.0,1.0,2.0,2.0,24.0,1.0,26,,1.0,0.33,19.0,5.0,0.1666666666666666,0.3333333333333333,0.3333333333333333,4.0,0.1666666666666666,4.333333333333333,,0.1666666666666666,0.055,3.1666666666666665,0.8333333333333334,5.0,5.0,5.0,5.0,5.0,5,,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8,,8.0,8.0,8.0,8.0
,Suresu Kumar,,Suresu Kumar,,Suresu Kumar,,Suresu Kumar,Suresu Kumar,Suresu Kumar,Suresu Kumar,,1.0,,1.0,,1,,1.0,1.0,1.0,1.0,,Raider,,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,MUM,,MUM,,MUM,,MUM,MUM,MUM,MUM,,U Mumba,,U Mumba,,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,,90.0,,79.0,,113,,89.0,49.0,79.0,66.0,,1.0,,1.0,,2,,1.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,,5.0,,5.0,,5,,5.0,5.0,5.0,5.0,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0
,,,Deepak Kumar Dahiya,,Deepak Kumar Dahiya,,,,Deepak Kumar Dahiya,Deepak Kumar Dahiya,,,,2.0,,2,,,,2.0,2.0,,,,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,,BLR,,BLR,,,,BLR,BLR,,,,Bengaluru Bulls,,Bengaluru Bulls,,,,Bengaluru Bulls,Bengaluru Bulls,,,,54.0,,94,,,,61.0,41.0,,,,6.0,,6,,,,3.0,4.0,,,,3.0,,3.0,,,,1.5,2.0,,,,1.0,,1,,,,1.0,1.0,,,,8.0,,8,,,,8.0,8.0
,Parveen M. Jangra,,Parveen M. Jangra,,Parveen M. Jangra,,Parveen M. Jangra,Parveen M. Jangra,Parveen M. Jangra,,,6.0,,6.0,,6,,6.0,6.0,6.0,,,Defender,,Defender,,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,KOL,,KOL,,KOL,,KOL,KOL,KOL,,,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,55.0,,78.0,,95,,53.0,57.0,80.0,,,5.0,,1.0,,6,,5.0,0.83,1.0,,,0.8333333333333334,,0.1666666666666666,,1.0,,0.8333333333333334,0.1383333333333333,0.1666666666666666,,,4.0,,4.0,,4,,4.0,4.0,4.0,,,9.0,,9.0,,9,,9.0,9.0,9.0,
,Vikas Kale,,,Vikas Kale,Vikas Kale,Vikas Kale,Vikas Kale,Vikas Kale,,,,8.0,,,8.0,8,8.0,8.0,8.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,,,KOL,KOL,KOL,KOL,KOL,,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,44.0,,,12.0,86,15.0,52.0,44.0,,,,9.0,,,3.0,9,1.0,6.0,1.13,,,,1.125,,,0.375,1.125,0.125,0.75,0.14125,,,,4.0,,,4.0,4,4.0,4.0,4.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
,Kedar Lal,Kedar Lal,Kedar Lal,,Kedar Lal,,Kedar Lal,Kedar Lal,Kedar Lal,Kedar Lal,,9.0,9.0,9.0,,9,,9.0,9.0,9.0,9.0,,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,KOL,,KOL,,KOL,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,91.0,29.0,41.0,,64,,90.0,103.0,49.0,18.0,,1.0,1.0,12.0,,13,,1.0,0.11,7.0,9.0,,0.1111111111111111,0.1111111111111111,1.3333333333333333,,1.4444444444444444,,0.1111111111111111,0.0122222222222222,0.7777777777777778,1.0,,4.0,4.0,4.0,,4,,4.0,4.0,4.0,4.0,,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Deepak Dhull,,Deepak Dhull,Deepak Dhull,Deepak Dhull,Deepak Dhull,Deepak Dhull,Deepak Dhull,,,,8.0,,8.0,8.0,8,8.0,8.0,8.0,,,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,,,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,37.0,,74.0,33.0,72,16.0,35.0,38.0,,,,11.0,,1.0,1.0,12,1.0,10.0,1.38,,,,1.375,,0.125,0.125,1.5,0.125,1.25,0.1725,,,,4.0,,4.0,4.0,4,4.0,4.0,4.0,,,,9.0,,9.0,9.0,9,9.0,9.0,9.0,,
,,,Dinesh Kumar,,Dinesh Kumar,,,,Dinesh Kumar,Dinesh Kumar,,,,8.0,,8,,,,8.0,8.0,,,,All Rounder,,All Rounder,,,,All Rounder,All Rounder,,,,,,,,,,,,,,,KOL,,KOL,,,,KOL,KOL,,,,Bengal Warriors,,Bengal Warriors,,,,Bengal Warriors,Bengal Warriors,,,,30.0,,51,,,,29.0,43.0,,,,19.0,,19,,,,17.0,4.0,,,,2.375,,2.375,,,,2.125,0.5,,,,4.0,,4,,,,4.0,4.0,,,,0.0,,0,,,,0.0,0.0
,Deepak Kumar,,,Deepak Kumar,Deepak Kumar,Deepak Kumar,Deepak Kumar,Deepak Kumar,,,,4.0,,,4.0,4,4.0,4.0,4.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,,,KOL,KOL,KOL,KOL,KOL,,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,60.0,,,34.0,96,17.0,60.0,42.0,,,,5.0,,,1.0,5,1.0,4.0,1.25,,,,1.25,,,0.25,1.25,0.25,1.0,0.3125,,,,4.0,,,4.0,4,4.0,4.0,4.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
,Vijin Thangadurai,,,Vijin Thangadurai,Vijin Thangadurai,,Vijin Thangadurai,Vijin Thangadurai,,,,7.0,,,7.0,7,,7.0,7.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,KOL,,,KOL,KOL,,KOL,KOL,,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,30.0,,,26.0,66,,31.0,28.0,,,,13.0,,,2.0,13,,11.0,1.86,,,,1.8571428571428572,,,0.2857142857142857,1.8571428571428572,,1.5714285714285714,0.2657142857142857,,,,4.0,,,4.0,4,,4.0,4.0,,,,9.0,,,9.0,9,,9.0,9.0,,
Sonu Narwal,,Sonu Narwal,Sonu Narwal,,Sonu Narwal,,,,Sonu Narwal,Sonu Narwal,11.0,,11.0,11.0,,11,,,,11.0,11.0,Raider,,Raider,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,JAI,,JAI,JAI,,JAI,,,,JAI,JAI,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,9.0,,30.0,15.0,,21,,,,13.0,14.0,1.0,,1.0,51.0,,51,,,,42.0,12.0,0.0909090909090909,,0.0909090909090909,4.636363636363637,,4.636363636363637,,,,3.8181818181818183,1.0909090909090908,3.0,,3.0,3.0,,3,,,,3.0,3.0,8.0,,8.0,8.0,,8,,,,8.0,8.0
,C. Arun,,,C. Arun,C. Arun,,C. Arun,C. Arun,,,,8.0,,,8.0,8,,8.0,8.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,JAI,,,JAI,JAI,,JAI,JAI,,,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,36.0,,,36.0,75,,34.0,37.0,,,,11.0,,,1.0,11,,10.0,1.38,,,,1.375,,,0.125,1.375,,1.25,0.1725,,,,3.0,,,3.0,3,,3.0,3.0,,,,9.0,,,9.0,9,,9.0,9.0,,
,Joginder Singh Narwal,,,,Joginder Singh Narwal,,Joginder Singh Narwal,Joginder Singh Narwal,,,,14.0,,,,14,,14.0,14.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,BLR,,,,BLR,,BLR,BLR,,,,Bengaluru Bulls,,,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,,15.0,,,,38,,13.0,18.0,,,,30.0,,,,30,,30.0,2.14,,,,2.142857142857143,,,,2.142857142857143,,2.142857142857143,0.1528571428571428,,,,1.0,,,,1,,1.0,1.0,,,,9.0,,,,9,,9.0,9.0,,
,Ashish Chhokar,,Ashish Chhokar,,Ashish Chhokar,,Ashish Chhokar,Ashish Chhokar,Ashish Chhokar,Ashish Chhokar,,6.0,,6.0,,6,,6.0,6.0,6.0,6.0,,Raider,,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,,BLR,,BLR,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,106.0,,40.0,,65,,105.0,97.0,50.0,44.0,,1.0,,12.0,,13,,1.0,0.17,7.0,3.0,,0.1666666666666666,,2.0,,2.1666666666666665,,0.1666666666666666,0.0283333333333333,1.1666666666666667,0.5,,1.0,,1.0,,1,,1.0,1.0,1.0,1.0,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0
,,Pardeep Narwal,Pardeep Narwal,,Pardeep Narwal,,,,Pardeep Narwal,Pardeep Narwal,,,6.0,6.0,,6,,,,6.0,6.0,,,Raider,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,BLR,BLR,,BLR,,,,BLR,BLR,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,,Bengaluru Bulls,Bengaluru Bulls,,,31.0,50.0,,85,,,,51.0,42.0,,,1.0,9.0,,9,,,,7.0,4.0,,,0.1666666666666666,1.5,,1.5,,,,1.1666666666666667,0.6666666666666666,,,1.0,1.0,,1,,,,1.0,1.0,,,8.0,8.0,,8,,,,8.0,8.0
,,,Kazuhiro Takano,,Kazuhiro Takano,,,,Kazuhiro Takano,,,,,2.0,,2,,,,2.0,,,,,All Rounder,,All Rounder,,,,All Rounder,,,,,,,,,,,,,,,,JAI,,JAI,,,,JAI,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,,,,,80.0,,125,,,,81.0,,,,,1.0,,1,,,,1.0,,,,,0.5,,0.5,,,,0.5,,,,,3.0,,3,,,,3.0,,,,,0.0,,0,,,,0.0,
,,,Mohammad Maghshoudulu,,Mohammad Maghshoudulu,,,,Mohammad Maghshoudulu,,,,,4.0,,4,,,,4.0,,,,,All Rounder,,All Rounder,,,,All Rounder,,,,,,,,,,,,,,,,JAI,,JAI,,,,JAI,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,,,,,81.0,,126,,,,82.0,,,,,1.0,,1,,,,1.0,,,,,0.25,,0.25,,,,0.25,,,,,3.0,,3,,,,3.0,,,,,0.0,,0,,,,0.0,
,Adinath Sakharam Gavali,,,,Adinath Sakharam Gavali,,Adinath Sakharam Gavali,Adinath Sakharam Gavali,,,,1.0,,,,1,,1.0,1.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,BLR,,,,BLR,,BLR,BLR,,,,Bengaluru Bulls,,,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,,107.0,,,,127,,106.0,53.0,,,,1.0,,,,1,,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,1,,1.0,1.0,,,,9.0,,,,9,,9.0,9.0,,
,Ashish Kumar,,Ashish Kumar,Ashish Kumar,Ashish Kumar,,Ashish Kumar,Ashish Kumar,Ashish Kumar,Ashish Kumar,,5.0,,5.0,5.0,5,,5.0,5.0,5.0,5.0,,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,74.0,,70.0,37.0,97,,76.0,71.0,64.0,59.0,,3.0,,2.0,1.0,5,,2.0,0.6,2.0,1.0,,0.6,,0.4,0.2,1.0,,0.4,0.12,0.4,0.2,,1.0,,1.0,1.0,1,,1.0,1.0,1.0,1.0,,9.0,,9.0,9.0,9,,9.0,9.0,9.0,9.0
,,Rakesh Narwal,Rakesh Narwal,,Rakesh Narwal,,,,Rakesh Narwal,Rakesh Narwal,,,11.0,11.0,,11,,,,11.0,11.0,,,Raider,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,BLR,BLR,,BLR,,,,BLR,BLR,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,,Bengaluru Bulls,Bengaluru Bulls,,,12.0,29.0,,47,,,,32.0,19.0,,,2.0,21.0,,21,,,,14.0,9.0,,,0.1818181818181818,1.9090909090909092,,1.9090909090909092,,,,1.2727272727272727,0.8181818181818182,,,1.0,1.0,,1,,,,1.0,1.0,,,8.0,8.0,,8,,,,8.0,8.0
