,Player_Name,Tournament,Team,Price,Status
185,dharmaraj cheralathan,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
186,dharmaraj cheralathan,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
187,dharmaraj cheralathan,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
188,dharmaraj cheralathan,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
189,dharmaraj cheralathan,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
190,mahender singh,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
191,manjeet,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
192,jasvir singh,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
193,surender gill,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
194,meetu mahender sharma,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
195,surinder singh,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
196,abhishek singh,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
197,jeeva kumar,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
198,deepak narwal,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
199,rakesh sangroya,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
200,aslam inamdar,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
201,aslam inamdar,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
202,aslam inamdar,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
203,mohit chhillar,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
204,mohit chhillar,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
205,mohit chhillar,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
206,amit hooda,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
207,amit hooda,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
208,amit hooda,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
209,parteek dahiya,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
210,parteek dahiya,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
211,parteek dahiya,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
212,meraj sheykh,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
213,meraj sheykh,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
214,meraj sheykh,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
215,k  prapanjan,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
216,k  prapanjan,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
217,k  prapanjan,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
218,ravi kumar,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
219,ravi kumar,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
220,ravi kumar,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
221,saurabh nandal,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
222,saurabh nandal,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
223,saurabh nandal,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
224,joginder narwal,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
225,joginder narwal,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
226,joginder narwal,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
227,vinay,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
228,vinay,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
229,vinay,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
230,rohit baliyan,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
231,rohit baliyan,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
232,rohit baliyan,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
233,rohit baliyan,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
234,rohit baliyan,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
235,pawan kumar kadiyan,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
236,pawan kumar kadiyan,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
237,pawan kumar kadiyan,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
238,pawan kumar kadiyan,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
239,pawan kumar kadiyan,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
240,surender nada,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
241,surender nada,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
242,surender nada,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
243,surender nada,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
244,surender nada,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
245,wazir singh,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
246,wazir singh,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
247,wazir singh,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
248,wazir singh,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
249,wazir singh,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
250,mohammadreza shadloui chiyaneh,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
251,mohammadreza shadloui chiyaneh,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
252,mohammadreza shadloui chiyaneh,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
253,mohammadreza shadloui chiyaneh,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
254,mohammadreza shadloui chiyaneh,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
255,sumit,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
256,sumit,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
257,sumit,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
258,sumit,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
259,sumit,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
260,monu,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
261,monu,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
262,monu,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
263,monu,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
264,monu,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
265,sombir,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
266,sombir,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
267,sombir,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
268,sombir,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
269,sombir,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
270,v  ajith kumar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
271,v  ajith kumar,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
272,v  ajith kumar,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
273,v  ajith kumar,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
274,v  ajith kumar,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
275,abozar mighani,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
276,abozar mighani,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
277,abozar mighani,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
278,abozar mighani,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
279,abozar mighani,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
280,krishan,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
281,krishan,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
282,krishan,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
283,more g b,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
284,more g b,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
285,more g b,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
286,narender hoshiyar,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
287,narender hoshiyar,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
288,narender hoshiyar,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
289,pankaj mohite,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
290,pankaj mohite,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
291,pankaj mohite,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
292,naveen bazzad,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
293,naveen bazzad,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
294,naveen bazzad,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
295,sagar,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
296,sagar,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
297,sagar,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
298,jaideep,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
299,jaideep,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
300,jaideep,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
301,bharat naresh,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
302,bharat naresh,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
303,bharat naresh,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
304,nilesh salunke,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
305,nilesh salunke,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
306,nilesh salunke,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
307,nitin rawal,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
308,nitin rawal,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
309,nitin rawal,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
310,rajesh mondal,Pro Kabaddi Season 8,Gujarat Giants,15.00 L,SOLD
