Player_Name,Tournament,Team,Price,Status
Amit Hooda,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Parteek Dahiya,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Parteek Dahiya,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
Parteek Dahiya,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Meraj Sheykh,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Meraj Sheykh,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
Meraj Sheykh,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
K  Prapanjan,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
K  Prapanjan,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
K  Prapanjan,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Ravi Kumar,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Ravi Kumar,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
Ravi Kumar,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Saurabh Nandal,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Saurabh Nandal,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
Saurabh Nandal,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Joginder Narwal,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Joginder Narwal,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
Joginder Narwal,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Vinay,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Vinay,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
Vinay,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Rohit Baliyan,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Rohit Baliyan,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Rohit Baliyan,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Rohit Baliyan,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Rohit Baliyan,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Pawan Kumar Kadiyan,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Pawan Kumar Kadiyan,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Pawan Kumar Kadiyan,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Pawan Kumar Kadiyan,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Pawan Kumar Kadiyan,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Surender Nada,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Surender Nada,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Surender Nada,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Surender Nada,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Surender Nada,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Wazir Singh,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Wazir Singh,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Wazir Singh,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Wazir Singh,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Wazir Singh,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Mohammadreza Shadloui Chiyaneh,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Mohammadreza Shadloui Chiyaneh,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Mohammadreza Shadloui Chiyaneh,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Mohammadreza Shadloui Chiyaneh,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Mohammadreza Shadloui Chiyaneh,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Sumit,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Sumit,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Sumit,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Sumit,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Sumit,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Monu,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Monu,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Monu,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Monu,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Monu,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Sombir,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Sombir,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Sombir,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Sombir,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Sombir,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
V  Ajith Kumar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
V  Ajith Kumar,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
V  Ajith Kumar,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
V  Ajith Kumar,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
V  Ajith Kumar,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Abozar Mighani,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Abozar Mighani,Pro Kabaddi Season 8,Bengal Warriors,30.50 L,SOLD
Abozar Mighani,Pro Kabaddi Season 7,Telugu Titans,75.00 L,FBM
Abozar Mighani,Pro Kabaddi Season 6,Telugu Titans,76.00 L,SOLD
Abozar Mighani,Pro Kabaddi Season 5,Gujarat Fortunegiants,50.00 L,SOLD
Krishan,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Krishan,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Krishan,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
More G B,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
More G B,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
More G B,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Narender Hoshiyar,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Narender Hoshiyar,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Narender Hoshiyar,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Pankaj Mohite,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Pankaj Mohite,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Pankaj Mohite,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Naveen Bazzad,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Naveen Bazzad,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Naveen Bazzad,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Sagar,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Sagar,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Sagar,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Jaideep,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Jaideep,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Jaideep,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Bharat Naresh,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Bharat Naresh,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Bharat Naresh,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
Nilesh Salunke,Pro Kabaddi Season 8,Jaipur Pink Panthers,25.00 L,RETAINED
Nilesh Salunke,Pro Kabaddi Season 7,Jaipur Pink Panthers,25.00 L,RETAINED
Nilesh Salunke,Pro Kabaddi Season 6,Jaipur Pink Panthers,6.60 L,RETAINED
