player-super-raids_player_name,player-total-points_player_name,super-10s_player_name,player-successful-raids_player_name,player-super-tackles_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-raid-points_player_name,player-successful-tackles_player_name,high-5s_player_name,player-tackle-points_player_name,player-super-raids_match_played,player-total-points_match_played,super-10s_match_played,player-successful-raids_match_played,player-super-tackles_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-raid-points_match_played,player-successful-tackles_match_played,high-5s_match_played,player-tackle-points_match_played,player-super-raids_position_name,player-total-points_position_name,super-10s_position_name,player-successful-raids_position_name,player-super-tackles_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-raid-points_position_name,player-successful-tackles_position_name,high-5s_position_name,player-tackle-points_position_name,player-super-raids_team,player-total-points_team,super-10s_team,player-successful-raids_team,player-super-tackles_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-raid-points_team,player-successful-tackles_team,high-5s_team,player-tackle-points_team,player-super-raids_team_name,player-total-points_team_name,super-10s_team_name,player-successful-raids_team_name,player-super-tackles_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-raid-points_team_name,player-successful-tackles_team_name,high-5s_team_name,player-tackle-points_team_name,player-super-raids_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-successful-raids_team_full_name,player-super-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-raid-points_team_full_name,player-successful-tackles_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-super-raids_rank,player-total-points_rank,super-10s_rank,player-successful-raids_rank,player-super-tackles_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-raid-points_rank,player-successful-tackles_rank,high-5s_rank,player-tackle-points_rank,player-super-raids_value,player-total-points_value,super-10s_value,player-successful-raids_value,player-super-tackles_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-raid-points_value,player-successful-tackles_value,high-5s_value,player-tackle-points_value,player-super-raids_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-successful-raids_points_per_match,player-super-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-raid-points_points_per_match,player-successful-tackles_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-super-raids_team_id,player-total-points_team_id,super-10s_team_id,player-successful-raids_team_id,player-super-tackles_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-raid-points_team_id,player-successful-tackles_team_id,high-5s_team_id,player-tackle-points_team_id,player-super-raids_position_id,player-total-points_position_id,super-10s_position_id,player-successful-raids_position_id,player-super-tackles_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-raid-points_position_id,player-successful-tackles_position_id,high-5s_position_id,player-tackle-points_position_id
Rohit Gulia,Rohit Gulia,Rohit Gulia,Rohit Gulia,,,Rohit Gulia,Rohit Gulia,,,,19.0,19,19.0,19.0,,,19.0,19.0,,,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,,All-Rounder,All-Rounder,,,,,,,,,,,,,,,PAT,PAT,PAT,PAT,,,PAT,PAT,,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,Patna Pirates,Patna Pirates,,,,13.0,12,11.0,11.0,,,9.0,10.0,,,,4.0,148,7.0,115.0,,,26.0,148.0,,,,0.2105263157894736,7.7894736842105265,0.3684210526315789,6.052631578947368,,,1.368421052631579,7.7894736842105265,,,,6.0,6,6.0,6.0,,,6.0,6.0,,,,0.0,0,0.0,0.0,,,0.0,0.0,,,
,Sahil,,,,Sahil,,,Sahil,,Sahil,,7,,,,7.0,,,7.0,,7.0,,Defender,,,,Defender,,,Defender,,Defender,,,,,,,,,,,,,CHE,,,,CHE,,,CHE,,CHE,,Tamil Thalaivas,,,,Tamil Thalaivas,,,Tamil Thalaivas,,Tamil Thalaivas,,158,,,,89.0,,,90.0,,95.0,,6,,,,0.86,,,6.0,,6.0,,0.8571428571428571,,,,0.1228571428571428,,,0.8571428571428571,,0.8571428571428571,,29,,,,29.0,,,29.0,,29.0,,9,,,,9.0,,,9.0,,9.0
Ashish,Ashish,Ashish,Ashish,Ashish,Ashish,Ashish,Ashish,Ashish,,Ashish,21.0,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,21.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,42.0,23,29.0,24.0,60.0,74.0,19.0,24.0,46.0,,46.0,1.0,120,2.0,79.0,1.0,1.1,17.0,97.0,22.0,,23.0,0.0476190476190476,5.714285714285714,0.0952380952380952,3.761904761904762,0.0476190476190476,0.0523809523809523,0.8095238095238095,4.619047619047619,1.0476190476190477,,1.0952380952380951,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
Guman Singh,Guman Singh,Guman Singh,Guman Singh,,,Guman Singh,Guman Singh,,,,18.0,18,18.0,18.0,,,18.0,18.0,,,,Raider,Raider,Raider,Raider,,,Raider,Raider,,,,,,,,,,,,,,,MUM,MUM,MUM,MUM,,,MUM,MUM,,,,U Mumba,U Mumba,U Mumba,U Mumba,,,U Mumba,U Mumba,,,,10.0,18,12.0,16.0,,,10.0,16.0,,,,5.0,137,7.0,105.0,,,24.0,137.0,,,,0.2777777777777778,7.611111111111111,0.3888888888888889,5.833333333333333,,,1.3333333333333333,7.611111111111111,,,,5.0,5,5.0,5.0,,,5.0,5.0,,,,8.0,8,8.0,8.0,,,8.0,8.0,,,
Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,Neeraj Narwal,,Neeraj Narwal,24.0,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,24.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,21.0,24,28.0,26.0,19.0,85.0,30.0,26.0,50.0,,47.0,3.0,115,2.0,61.0,3.0,0.96,12.0,92.0,20.0,,23.0,0.125,4.791666666666667,0.0833333333333333,2.5416666666666665,0.125,0.04,0.5,3.8333333333333335,0.8333333333333334,,0.9583333333333334,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Nitin Panwar,,Nitin Panwar,,Nitin Panwar,Nitin Panwar,Nitin Panwar,Nitin Panwar,,Nitin Panwar,,4,,4.0,,4.0,4.0,4.0,4.0,,4.0,,All-Rounder,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,,U.P.,,U.P.,,U.P.,U.P.,U.P.,U.P.,,U.P.,,U.P. Yoddhas,,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,,172,,109.0,,111.0,62.0,100.0,138.0,,138.0,,4,,1.0,,0.5,2.0,2.0,2.0,,2.0,,1.0,,0.25,,0.125,0.5,0.5,0.5,,0.5,,30,,30.0,,30.0,30.0,30.0,30.0,,30.0,,0,,0.0,,0.0,0.0,0.0,0.0,,0.0
V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,V Ajith Kumar,,V Ajith Kumar,21.0,21,21.0,21.0,,21.0,21.0,21.0,21.0,,21.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,30.0,25,23.0,23.0,,160.0,22.0,23.0,122.0,,132.0,2.0,103,3.0,83.0,,0.14,16.0,100.0,3.0,,3.0,0.0952380952380952,4.904761904761905,0.1428571428571428,3.952380952380953,,0.0066666666666666,0.7619047619047619,4.761904761904762,0.1428571428571428,,0.1428571428571428,3.0,3,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
Vinay,Vinay,,Vinay,,,Vinay,Vinay,,,,15.0,15,,15.0,,,15.0,15.0,,,,Raider,Raider,,Raider,,,Raider,Raider,,,,,,,,,,,,,,,HAR,HAR,,HAR,,,HAR,HAR,,,,Haryana Steelers,Haryana Steelers,,Haryana Steelers,,,Haryana Steelers,Haryana Steelers,,,,31.0,86,,50.0,,,38.0,45.0,,,,2.0,33,,20.0,,,6.0,33.0,,,,0.1333333333333333,2.2,,1.3333333333333333,,,0.4,2.2,,,,28.0,28,,28.0,,,28.0,28.0,,,,8.0,8,,8.0,,,8.0,8.0,,,
Nitin Rawal,Nitin Rawal,,Nitin Rawal,Nitin Rawal,Nitin Rawal,,Nitin Rawal,Nitin Rawal,Nitin Rawal,Nitin Rawal,22.0,22,,22.0,22.0,22.0,,22.0,22.0,22.0,22.0,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,,,,,,,,,,,HAR,HAR,,HAR,HAR,HAR,,HAR,HAR,HAR,HAR,Haryana Steelers,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,40.0,60,,80.0,49.0,47.0,,75.0,29.0,21.0,30.0,1.0,44,,4.0,2.0,1.59,,9.0,33.0,2.0,35.0,0.0454545454545454,2.0,,0.1818181818181818,0.0909090909090909,0.0722727272727272,,0.4090909090909091,1.5,0.0909090909090909,1.5909090909090908,28.0,28,,28.0,28.0,28.0,,28.0,28.0,28.0,28.0,0.0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
,Purna Singh,,Purna Singh,,,,Purna Singh,,,,,2,,2.0,,,,2.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,GUJ,,GUJ,,,,GUJ,,,,,Gujarat Giants,,Gujarat Giants,,,,Gujarat Giants,,,,,203,,105.0,,,,123.0,,,,,1,,1.0,,,,1.0,,,,,0.5,,0.5,,,,0.5,,,,,31,,31.0,,,,31.0,,,,,8,,8.0,,,,8.0,,,
Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,,Vijay Malik,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,11.0,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,41.0,30,20.0,29.0,50.0,94.0,39.0,28.0,89.0,,82.0,1.0,82,4.0,54.0,2.0,0.73,6.0,74.0,6.0,,8.0,0.0909090909090909,7.454545454545454,0.3636363636363636,4.909090909090909,0.1818181818181818,0.0663636363636363,0.5454545454545454,6.7272727272727275,0.5454545454545454,,0.7272727272727273,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,Monu,,Monu,Monu,Monu,Monu,Monu,Monu,,Monu,,18,,18.0,18.0,18.0,18.0,18.0,18.0,,18.0,,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,PAT,,PAT,PAT,PAT,PAT,PAT,PAT,,PAT,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,,73,,58.0,61.0,69.0,49.0,60.0,47.0,,49.0,,36,,12.0,1.0,1.22,4.0,14.0,21.0,,22.0,,2.0,,0.6666666666666666,0.0555555555555555,0.0677777777777777,0.2222222222222222,0.7777777777777778,1.1666666666666667,,1.2222222222222223,,6,,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,,8,,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Vishal Bhardwaj,,,Vishal Bhardwaj,Vishal Bhardwaj,,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,,19,,,19.0,19.0,,19.0,19.0,19.0,19.0,,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HYD,,,HYD,HYD,,HYD,HYD,HYD,HYD,,Telugu Titans,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,56,,,6.0,22.0,,120.0,23.0,22.0,20.0,,45,,,7.0,2.32,,1.0,37.0,2.0,44.0,,2.3684210526315788,,,0.3684210526315789,0.1221052631578947,,0.0526315789473684,1.9473684210526316,0.1052631578947368,2.3157894736842106,,8,,,8.0,8.0,,8.0,8.0,8.0,8.0,,9,,,9.0,9.0,,9.0,9.0,9.0,9.0
,Rinku Narwal,,,Rinku Narwal,Rinku Narwal,,Rinku Narwal,Rinku Narwal,Rinku Narwal,Rinku Narwal,,20,,,20.0,20.0,,20.0,20.0,20.0,20.0,,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,GUJ,,,GUJ,GUJ,,GUJ,GUJ,GUJ,GUJ,,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,68,,,51.0,35.0,,121.0,25.0,23.0,24.0,,39,,,2.0,1.9,,1.0,36.0,1.0,38.0,,1.95,,,0.1,0.095,,0.05,1.8,0.05,1.9,,31,,,31.0,31.0,,31.0,31.0,31.0,31.0,,9,,,9.0,9.0,,9.0,9.0,9.0,9.0
,Surinder Singh,,,Surinder Singh,Surinder Singh,,Surinder Singh,Surinder Singh,Surinder Singh,Surinder Singh,,12,,,12.0,12.0,,12.0,12.0,12.0,12.0,,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,MUM,,,MUM,MUM,,MUM,MUM,MUM,MUM,,U Mumba,,,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,,71,,,18.0,10.0,,122.0,31.0,24.0,29.0,,36,,,3.0,2.92,,1.0,32.0,1.0,35.0,,3.0,,,0.25,0.2433333333333333,,0.0833333333333333,2.6666666666666665,0.0833333333333333,2.9166666666666665,,5,,,5.0,5.0,,5.0,5.0,5.0,5.0,,9,,,9.0,9.0,,9.0,9.0,9.0,9.0
,Nitesh Kumar,,,Nitesh Kumar,Nitesh Kumar,,,Nitesh Kumar,,Nitesh Kumar,,22,,,22.0,22.0,,,22.0,,22.0,,Defender,,,Defender,Defender,,,Defender,,Defender,,,,,,,,,,,,,U.P.,,,U.P.,U.P.,,,U.P.,,U.P.,,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,,,U.P. Yoddhas,,U.P. Yoddhas,,80,,,53.0,49.0,,,32.0,,33.0,,34,,,2.0,1.55,,,32.0,,34.0,,1.5454545454545454,,,0.0909090909090909,0.0704545454545454,,,1.4545454545454546,,1.5454545454545454,,30,,,30.0,30.0,,,30.0,,30.0,,9,,,9.0,9.0,,,9.0,,9.0
,Adarsh T,,Adarsh T,Adarsh T,Adarsh T,Adarsh T,Adarsh T,Adarsh T,,Adarsh T,,15,,15.0,15.0,15.0,15.0,15.0,15.0,,15.0,,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,Defender - Left Corner,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,,HYD,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,70,,40.0,54.0,139.0,41.0,44.0,139.0,,115.0,,38,,28.0,2.0,0.27,6.0,34.0,2.0,,4.0,,2.533333333333333,,1.8666666666666667,0.1333333333333333,0.018,0.4,2.2666666666666666,0.1333333333333333,,0.2666666666666666,,8,,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,Ajinkya Pawar,,Ajinkya Pawar,22.0,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,22.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,,CHE,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,24.0,16,22.0,21.0,58.0,113.0,4.0,20.0,71.0,,72.0,3.0,141,3.0,96.0,1.0,0.5,35.0,130.0,10.0,,11.0,0.1363636363636363,6.409090909090909,0.1363636363636363,4.363636363636363,0.0454545454545454,0.0227272727272727,1.5909090909090908,5.909090909090909,0.4545454545454545,,0.5,29.0,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,29.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Parveen Satpal,,,,Parveen Satpal,,,Parveen Satpal,,Parveen Satpal,,5,,,,5.0,,,5.0,,5.0,,Defender - Left Corner,,,,Defender - Left Corner,,,Defender - Left Corner,,Defender - Left Corner,,,,,,,,,,,,,KOL,,,,KOL,,,KOL,,KOL,,Bengal Warriors,,,,Bengal Warriors,,,Bengal Warriors,,Bengal Warriors,,148,,,,57.0,,,81.0,,90.0,,7,,,,1.4,,,7.0,,7.0,,1.4,,,,0.2799999999999999,,,1.4,,1.4,,4,,,,4.0,,,4.0,,4.0,,0,,,,0.0,,,0.0,,0.0
,Ponparthiban Subramanian,,,,Ponparthiban Subramanian,,,Ponparthiban Subramanian,Ponparthiban Subramanian,Ponparthiban Subramanian,,4,,,,4.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,BLR,,,,BLR,,,BLR,BLR,BLR,,Bengaluru Bulls,,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,125,,,,9.0,,,64.0,25.0,68.0,,12,,,,3.0,,,12.0,1.0,12.0,,3.0,,,,0.75,,,3.0,0.25,3.0,,1,,,,1.0,,,1.0,1.0,1.0,,0,,,,0.0,,,0.0,0.0,0.0
,Shubham Shinde,,,Shubham Shinde,Shubham Shinde,,Shubham Shinde,Shubham Shinde,Shubham Shinde,Shubham Shinde,,20,,,20.0,20.0,,20.0,20.0,20.0,20.0,,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,,,,,,,,,,,,,KOL,,,KOL,KOL,,KOL,KOL,KOL,KOL,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,61,,,17.0,28.0,,117.0,20.0,26.0,21.0,,44,,,4.0,2.15,,1.0,39.0,1.0,43.0,,2.2,,,0.2,0.1075,,0.05,1.95,0.05,2.15,,4,,,4.0,4.0,,4.0,4.0,4.0,4.0,,0,,,0.0,0.0,,0.0,0.0,0.0,0.0
,Sunil,,,Sunil,Sunil,,Sunil,Sunil,Sunil,Sunil,,22,,,22.0,22.0,,22.0,22.0,22.0,22.0,,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,,,,,,,,,,,,,PAT,,,PAT,PAT,,PAT,PAT,PAT,PAT,,Patna Pirates,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,62,,,55.0,36.0,,118.0,21.0,27.0,22.0,,42,,,2.0,1.86,,1.0,39.0,1.0,41.0,,1.9090909090909092,,,0.0909090909090909,0.0845454545454545,,0.0454545454545454,1.7727272727272727,0.0454545454545454,1.8636363636363635,,6,,,6.0,6.0,,6.0,6.0,6.0,6.0,,0,,,0.0,0.0,,0.0,0.0,0.0,0.0
,Neeraj Kumar,,,Neeraj Kumar,Neeraj Kumar,Neeraj Kumar,Neeraj Kumar,Neeraj Kumar,Neeraj Kumar,Neeraj Kumar,,21,,,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,,,,,,,,,,,,PAT,,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,90,,,56.0,60.0,64.0,119.0,40.0,28.0,40.0,,30,,,2.0,1.38,1.0,1.0,27.0,1.0,29.0,,1.4285714285714286,,,0.0952380952380952,0.0657142857142857,0.0476190476190476,0.0476190476190476,1.2857142857142858,0.0476190476190476,1.380952380952381,,6,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Amit Sheoran,,,Amit Sheoran,Amit Sheoran,,,Amit Sheoran,,Amit Sheoran,,2,,,2.0,2.0,,,2.0,,2.0,,Defender,,,Defender,Defender,,,Defender,,Defender,,,,,,,,,,,,,KOL,,,KOL,KOL,,,KOL,,KOL,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,,Bengal Warriors,,171,,,57.0,31.0,,,121.0,,114.0,,4,,,1.0,2.0,,,3.0,,4.0,,2.0,,,0.5,1.0,,,1.5,,2.0,,4,,,4.0,4.0,,,4.0,,4.0,,9,,,9.0,9.0,,,9.0,,9.0
Sonu,Sonu,Sonu,Sonu,,Sonu,Sonu,Sonu,Sonu,,Sonu,12.0,12,12.0,12.0,,12.0,12.0,12.0,12.0,,12.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,,GUJ,GUJ,GUJ,GUJ,,GUJ,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,43.0,55,33.0,39.0,,122.0,43.0,38.0,100.0,,101.0,1.0,46,1.0,29.0,,0.42,5.0,41.0,5.0,,5.0,0.0833333333333333,3.8333333333333335,0.0833333333333333,2.4166666666666665,,0.0349999999999999,0.4166666666666667,3.4166666666666665,0.4166666666666667,,0.4166666666666667,31.0,31,31.0,31.0,,31.0,31.0,31.0,31.0,,31.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
,Harendra Kumar,,,Harendra Kumar,Harendra Kumar,,,Harendra Kumar,,Harendra Kumar,,21,,,21.0,21.0,,,21.0,,21.0,,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,,,Defender - Left Cover,,Defender - Left Cover,,,,,,,,,,,,,MUM,,,MUM,MUM,,,MUM,,MUM,,U Mumba,,,U Mumba,U Mumba,,,U Mumba,,U Mumba,,95,,,41.0,67.0,,,41.0,,43.0,,26,,,2.0,1.24,,,24.0,,26.0,,1.238095238095238,,,0.0952380952380952,0.059047619047619,,,1.1428571428571428,,1.238095238095238,,5,,,5.0,5.0,,,5.0,,5.0,,0,,,0.0,0.0,,,0.0,,0.0
Manoj Gowda,Manoj Gowda,,Manoj Gowda,,Manoj Gowda,Manoj Gowda,Manoj Gowda,Manoj Gowda,,Manoj Gowda,15.0,15,,15.0,,15.0,15.0,15.0,15.0,,15.0,All-Rounder,All-Rounder,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,KOL,KOL,,KOL,,KOL,KOL,KOL,KOL,,KOL,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,44.0,88,,52.0,,129.0,79.0,49.0,101.0,,106.0,1.0,31,,19.0,,0.33,1.0,26.0,5.0,,5.0,0.0666666666666666,2.066666666666667,,1.2666666666666666,,0.022,0.0666666666666666,1.7333333333333334,0.3333333333333333,,0.3333333333333333,4.0,4,,4.0,,4.0,4.0,4.0,4.0,,4.0,0.0,0,,0.0,,0.0,0.0,0.0,0.0,,0.0
,Nitin Panwar,,Nitin Panwar,,,,Nitin Panwar,,,,,4,,4.0,,,,4.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,JAI,,JAI,,,,JAI,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,,,,,170,,87.0,,,,90.0,,,,,4,,3.0,,,,4.0,,,,,1.0,,0.75,,,,1.0,,,,,3,,3.0,,,,3.0,,,,,8,,8.0,,,,8.0,,,
,Sachin Narwal,,Sachin Narwal,,Sachin Narwal,Sachin Narwal,Sachin Narwal,Sachin Narwal,,Sachin Narwal,,16,,16.0,,16.0,16.0,16.0,16.0,,16.0,,All-Rounder,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,,BLR,,BLR,,BLR,BLR,BLR,BLR,,BLR,,Bengaluru Bulls,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,69,,41.0,,173.0,42.0,40.0,160.0,,168.0,,39,,27.0,,0.06,6.0,38.0,1.0,,1.0,,2.4375,,1.6875,,0.00375,0.375,2.375,0.0625,,0.0625,,1,,1.0,,1.0,1.0,1.0,1.0,,1.0,,0,,0.0,,0.0,0.0,0.0,0.0,,0.0
,Vishal,,,Vishal,Vishal,,,Vishal,Vishal,Vishal,,22,,,22.0,22.0,,,22.0,22.0,22.0,,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,,,,,,,,,,,,,DEL,,,DEL,DEL,,,DEL,DEL,DEL,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,42,,,77.0,14.0,,,5.0,11.0,7.0,,58,,,1.0,2.64,,,57.0,3.0,58.0,,2.636363636363636,,,0.0454545454545454,0.12,,,2.590909090909091,0.1363636363636363,2.636363636363636,,2,,,2.0,2.0,,,2.0,2.0,2.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
